1,3.90234375,842.5,1,x:842.5,y:733
2,4.269230769230769,1066.0,2,x:1066.0,y:595
3,3.2435064935064934,832.0,3,x:832.0,y:694
4,5.741379310344827,1793.0,4,x:1793.0,y:607
5,6.66,1852.5,5,x:1852.5,y:602
6,14.691176470588236,1652.5,6,x:1652.5,y:564
7,9.424528301886792,177.5,7,x:177.5,y:591
8,9.424528301886792,1386.5,8,x:1386.5,y:581
9,6.842465753424658,1838.0,9,x:1838.0,y:600
10,20.8125,718.5,10,x:718.5,y:578
11,9.60576923076923,350.0,11,x:350.0,y:582
12,15.609375,1201.0,12,x:1201.0,y:580
13,41.625,904.5,13,x:904.5,y:555
1,3.90234375,842.5,1,x:842.5,y:733
2,4.269230769230769,1066.0,2,x:1066.0,y:595
3,3.2435064935064934,832.0,3,x:832.0,y:694
4,5.741379310344827,1793.0,4,x:1793.0,y:607
5,6.66,1852.5,5,x:1852.5,y:602
6,14.691176470588236,1652.5,6,x:1652.5,y:564
7,9.424528301886792,177.5,7,x:177.5,y:591
8,9.424528301886792,1386.5,8,x:1386.5,y:581
9,6.842465753424658,1838.0,9,x:1838.0,y:600
10,20.8125,718.5,10,x:718.5,y:578
11,9.60576923076923,350.0,11,x:350.0,y:582
12,15.609375,1201.0,12,x:1201.0,y:580
13,41.625,904.5,13,x:904.5,y:555
1,3.90234375,842.5,1,x:842.5,y:733
2,4.269230769230769,1066.0,2,x:1066.0,y:595
3,3.2435064935064934,832.0,3,x:832.0,y:694
4,5.741379310344827,1793.0,4,x:1793.0,y:607
5,6.66,1852.5,5,x:1852.5,y:602
6,14.691176470588236,1652.5,6,x:1652.5,y:564
7,9.424528301886792,177.5,7,x:177.5,y:591
8,9.424528301886792,1386.5,8,x:1386.5,y:581
9,6.842465753424658,1838.0,9,x:1838.0,y:600
10,20.8125,718.5,10,x:718.5,y:578
11,9.60576923076923,350.0,11,x:350.0,y:582
12,15.609375,1201.0,12,x:1201.0,y:580
13,41.625,904.5,13,x:904.5,y:555
1,3.90234375,842.5,1,x:842.5,y:733
2,4.269230769230769,1066.0,2,x:1066.0,y:595
3,3.2435064935064934,832.0,3,x:832.0,y:694
4,5.741379310344827,1793.0,4,x:1793.0,y:607
5,6.66,1852.5,5,x:1852.5,y:602
6,14.691176470588236,1652.5,6,x:1652.5,y:564
7,9.424528301886792,177.5,7,x:177.5,y:591
8,9.424528301886792,1386.5,8,x:1386.5,y:581
9,6.842465753424658,1838.0,9,x:1838.0,y:600
10,20.8125,718.5,10,x:718.5,y:578
11,9.60576923076923,350.0,11,x:350.0,y:582
12,15.609375,1201.0,12,x:1201.0,y:580
13,41.625,904.5,13,x:904.5,y:555
1,3.90234375,842.5,1,x:842.5,y:733
2,4.269230769230769,1066.0,2,x:1066.0,y:595
3,3.2435064935064934,832.0,3,x:832.0,y:694
4,5.741379310344827,1793.0,4,x:1793.0,y:607
5,6.66,1852.5,5,x:1852.5,y:602
6,14.691176470588236,1652.5,6,x:1652.5,y:564
7,9.424528301886792,177.5,7,x:177.5,y:591
8,9.424528301886792,1386.5,8,x:1386.5,y:581
9,6.842465753424658,1838.0,9,x:1838.0,y:600
10,20.8125,718.5,10,x:718.5,y:578
11,9.60576923076923,350.0,11,x:350.0,y:582
12,15.609375,1201.0,12,x:1201.0,y:580
13,41.625,904.5,13,x:904.5,y:555
1,3.90234375,842.5,1,x:842.5,y:733
2,4.269230769230769,1066.0,2,x:1066.0,y:595
3,3.2435064935064934,832.0,3,x:832.0,y:694
4,5.741379310344827,1793.0,4,x:1793.0,y:607
5,6.66,1852.5,5,x:1852.5,y:602
6,14.691176470588236,1652.5,6,x:1652.5,y:564
7,9.424528301886792,177.5,7,x:177.5,y:591
8,9.424528301886792,1386.5,8,x:1386.5,y:581
9,6.842465753424658,1838.0,9,x:1838.0,y:600
10,20.8125,718.5,10,x:718.5,y:578
11,9.60576923076923,350.0,11,x:350.0,y:582
12,15.609375,1201.0,12,x:1201.0,y:580
13,41.625,904.5,13,x:904.5,y:555
1,3.90234375,842.5,1,x:842.5,y:733
2,4.269230769230769,1066.0,2,x:1066.0,y:595
3,3.2435064935064934,832.0,3,x:832.0,y:694
4,5.741379310344827,1793.0,4,x:1793.0,y:607
5,6.66,1852.5,5,x:1852.5,y:602
6,14.691176470588236,1652.5,6,x:1652.5,y:564
