1:2.023756906077348:847.0
158:2.1547058823529412:124.5
153:2.0812500000000003:181.5
152:3.981521739130435:440.5
150:5.635384615384615:1533.0
82:3.8156250000000003:932.0
158:2.1547058823529412:120.5
153:2.035:179.0
152:3.896808510638298:442.5
150:5.635384615384615:1533.0
82:3.8156250000000003:932.0
166:8.325000000000001:102.0
158:2.1547058823529412:119.5
153:2.035:178.0
152:3.938709677419355:443.5
150:5.55:1533.0
82:3.8156250000000003:932.0
166:8.518604651162791:101.5
158:2.1674556213017753:117.5
153:2.057865168539326:176.0
152:3.938709677419355:446.5
150:5.55:1533.0
82:3.8156250000000003:933.0
166:8.518604651162791:101.0
158:2.1934131736526945:114.5
153:2.035:174.5
152:4.025274725274725:448.5
150:5.55:1533.0
82:3.8156250000000003:932.5
166:8.518604651162791:100.5
158:2.1934131736526945:113.5
153:2.023756906077348:173.5
152:3.938709677419355:451.0
150:5.55:1533.0
82:3.8557894736842107:932.5
166:8.518604651162791:100.0
158:2.180357142857143:113.0
153:2.023756906077348:171.5
152:3.981521739130435:453.0
150:5.467164179104477:1533.0
166:8.518604651162791:99.0
158:2.180357142857143:113.5
153:2.035:172.0
152:3.981521739130435:453.5
150:5.467164179104477:1533.0
166:8.518604651162791:99.5
158:2.2066265060240964:113.0
153:2.023756906077348:171.5
152:3.981521739130435:453.5
150:5.467164179104477:1533.0
166:8.518604651162791:98.5
163:4.522222222222222:525.5
158:2.2066265060240964:112.5
153:2.023756906077348:171.5
152:4.025274725274725:454.5
150:5.467164179104477:1533.0
166:8.518604651162791:96.5
163:4.522222222222222:525.5
158:2.2066265060240964:112.0
153:2.023756906077348:170.0
152:4.210344827586207:456.5
150:5.55:1533.0
166:8.934146341463414:95.5
163:4.522222222222222:525.5
158:2.2335365853658535:111.0
153:2.001639344262295:169.5
152:4.210344827586207:459.5
150:5.55:1533.0
166:8.721428571428572:95.5
163:4.522222222222222:525.5
158:2.2335365853658535:111.5
153:2.0126373626373626:170.0
152:4.210344827586207:459.5
150:5.55:1533.0
166:8.721428571428572:95.5
163:4.522222222222222:526.0
158:2.2335365853658535:111.5
153:2.0126373626373626:169.5
152:4.210344827586207:459.5
150:5.55:1533.0
166:8.934146341463414:95.5
163:4.467073170731707:526.0
158:2.22:111.0
153:2.0126373626373626:170.0
152:4.210344827586207:459.5
150:5.635384615384615:1533.0
166:8.934146341463414:94.5
163:4.413253012048193:526.5
158:2.2066265060240964:110.0
153:2.0126373626373626:170.0
152:4.2593023255813955:460.5
150:5.55:1533.0
82:3.938709677419355:933.5
163:4.413253012048193:527.0
158:2.1674556213017753:108.5
153:2.001639344262295:169.5
152:4.3094117647058825:461.5
150:5.635384615384615:1533.0
82:3.938709677419355:934.0
166:9.392307692307693:91.5
163:4.413253012048193:531.0
158:2.142105263157895:106.5
153:2.001639344262295:168.0
152:4.3094117647058825:464.5
150:5.635384615384615:1533.0
82:4.025274725274725:936.0
166:8.934146341463414:91.0
163:4.413253012048193:530.0
158:2.1674556213017753:105.0
153:2.035:164.5
152:4.413253012048193:466.0
150:5.635384615384615:1533.0
166:9.1575:91.0
158:2.1547058823529412:103.0
153:2.0126373626373626:163.5
152:4.360714285714286:467.5
150:5.635384615384615:1533.0
166:9.1575:90.5
158:2.1547058823529412:103.0
153:2.0126373626373626:163.5
152:4.413253012048193:467.0
150:5.635384615384615:1533.0
158:2.142105263157895:102.5
153:2.0126373626373626:162.5
152:4.467073170731707:467.5
150:5.7234375:1533.0
166:8.721428571428572:91.5
158:2.1051724137931034:102.0
153:2.0126373626373626:161.0
152:4.467073170731707:467.5
150:5.635384615384615:1533.0
166:8.325000000000001:90.5
158:2.046368715083799:99.0
153:2.0126373626373626:157.0
