"153,1.9078125000000001,138.5,1283"
"152,4.522222222222222,475.0,1283"
"150,5.635384615384615,1533.0,1283"
"163,4.467073170731707,524.0,1282"
"158,1.8784615384615386,92.0,1282"
"153,1.8407035175879398,132.0,1282"
"152,4.467073170731707,478.5,1282"
"150,5.55,1533.0,1282"
"163,4.413253012048193,523.0,1281"
"158,1.9588235294117649,80.0,1281"
"153,1.7781553398058254,119.0,1281"
"152,4.210344827586207,478.0,1281"
"150,5.55,1532.5,1281"
"134,4.467073170731707,1835.5,1281"
"163,4.413253012048193,522.0,1280"
"158,1.9693548387096775,78.5,1280"
"153,1.8133663366336634,116.0,1280"
"152,4.115730337078652,478.0,1280"
"150,5.55,1533.0,1280"
"134,4.413253012048193,1838.0,1280"
"164,4.884,68.0,1279"
"163,4.467073170731707,521.5,1279"
"158,1.98,76.5,1279"
"154,7.182352941176471,1622.5,1279"
"153,1.8223880597014925,123.0,1279"
"152,4.1625000000000005,478.5,1279"
"150,5.55,1533.0,1279"
"164,4.696153846153846,66.0,1278"
"163,4.360714285714286,521.5,1278"
"154,7.3260000000000005,1622.5,1278"
"153,1.85,119.5,1278"
"152,4.1625000000000005,478.5,1278"
"150,5.55,1533.0,1278"
"45,5.467164179104477,166.5,1278"
"164,4.57875,63.0,1277"
"163,4.3094117647058825,523.0,1277"
"154,7.475510204081633,1622.0,1277"
"153,1.8688775510204083,123.0,1277"
"152,4.1625000000000005,479.5,1277"
"150,5.55,1533.0,1277"
"45,5.467164179104477,166.5,1277"
"163,4.360714285714286,523.5,1276"
"158,2.023756906077348,66.5,1276"
"153,1.8223880597014925,122.5,1276"
"152,4.1625000000000005,480.0,1276"
"150,5.55,1533.0,1276"
"134,4.467073170731707,1855.0,1276"
"45,5.635384615384615,166.5,1276"
"158,1.9588235294117649,64.5,1275"
"153,1.786829268292683,117.0,1275"
"152,4.1625000000000005,481.0,1275"
"150,5.55,1533.0,1275"
"134,4.413253012048193,1855.0,1275"
"45,5.635384615384615,167.0,1275"
"158,1.8979274611398964,61.5,1274"
"153,1.7695652173913043,112.5,1274"
"152,4.210344827586207,482.0,1274"
"150,5.55,1532.5,1274"
"134,4.522222222222222,1856.0,1274"
"45,5.386764705882353,167.5,1274"
"158,1.786829268292683,59.5,1273"
"153,1.7442857142857144,111.5,1273"
"152,4.360714285714286,482.5,1273"
"150,5.55,1532.5,1273"
"134,4.57875,1857.5,1273"
"45,5.308695652173913,167.0,1273"
"158,1.719718309859155,56.0,1272"
"154,7.793617021276596,1621.5,1272"
"153,1.719718309859155,111.0,1272"
"152,4.6367088607594935,484.0,1272"
"150,5.55,1532.5,1272"
"134,4.467073170731707,1858.0,1272"
"45,5.386764705882353,168.0,1272"
"158,1.719718309859155,52.0,1271"
"157,9.9,51.0,1271"
"154,7.793617021276596,1621.5,1271"
"153,1.6958333333333333,110.0,1271"
"152,4.696153846153846,483.0,1271"
"150,5.55,1533.0,1271"
"134,4.522222222222222,1859.0,1271"
"45,5.467164179104477,168.0,1271"
"157,7.3260000000000005,49.0,1270"
"154,7.96304347826087,1622.5,1270"
"153,1.6574660633484164,109.0,1270"
"150,5.55,1533.0,1270"
"134,4.522222222222222,1858.5,1270"
"45,5.467164179104477,168.5,1270"
"157,6.004918032786885,47.5,1269"
"154,7.96304347826087,1623.5,1269"
"153,1.6574660633484164,105.5,1269"
"152,4.522222222222222,481.5,1269"
"150,5.55,1533.0,1269"
"134,4.467073170731707,1858.5,1269"
"45,5.467164179104477,169.0,1269"
"154,7.6312500000000005,1626.0,1268"
"153,1.6574660633484164,96.5,1268"
"152,4.522222222222222,483.0,1268"
"150,5.55,1533.0,1268"
"45,5.308695652173913,169.5,1268"
"154,7.6312500000000005,1625.0,1267"
"153,1.6352678571428572,95.5,1267"
"152,4.57875,483.5,1267"
"150,5.55,1533.0,1267"
"45,5.308695652173913,169.5,1267"
"154,7.475510204081633,1623.5,1266"
"153,1.5521186440677968,93.5,1266"
"152,4.57875,485.0,1266"
"150,5.55,1533.0,1266"
"45,5.308695652173913,169.0,1266"
"154,7.475510204081633,1622.0,1265"
"153,1.519917012448133,97.0,1265"
